frame_number,received_time,sent_time,delay_seconds,number_markers
124,1581016451079533100,1581016450627323407,0.452209693,2
125,1581016451139666080,1581016450695333174,0.444332906,2
126,1581016451189367055,1581016450763461512,0.425905543,2
127,1581016451251017093,1581016450831248468,0.419768625,2
128,1581016451300087928,1581016450865164251,0.434923677,2
129,1581016451363257884,1581016450932822284,0.4304356,2
130,1581016451409792900,1581016450966764344,0.443028556,2
131,1581016451474349021,1581016451034508431,0.43984059,2
132,1581016451519823074,1581016451102436032,0.417387042,2
133,1581016451585097074,1581016451136355093,0.448741981,2
134,1581016451629844903,1581016451204204696,0.425640207,2
135,1581016451695662021,1581016451272102798,0.423559223,2
136,1581016451739806890,1581016451306022303,0.433784587,2
137,1581016451807271957,1581016451373891109,0.433380848,2
138,1581016451849206924,1581016451407853743,0.441353181,2
139,1581016451917368888,1581016451475987822,0.441381066,2
140,1581016451958915948,1581016451509903271,0.449012677,2
141,1581016452028206110,1581016451577816003,0.450390107,2
142,1581016452069591045,1581016451645879342,0.423711703,2
143,1581016452138252973,1581016451713796629,0.424456344,2
144,1581016452179342031,1581016451747977295,0.431364736,2
145,1581016452248321056,1581016451815829935,0.432491121,2
146,1581016452289222955,1581016451850306244,0.438916711,2
147,1581016452358872890,1581016451918375787,0.440497103,2
148,1581016452399096012,1581016451952275255,0.446820757,2
149,1581016452468672990,1581016452020237948,0.448435042,2
150,1581016452508589029,1581016452088276029,0.420313,2
151,1581016452578460931,1581016452156162761,0.42229817,2
152,1581016452617849111,1581016452190099858,0.427749253,2
153,1581016452688015937,1581016452258328639,0.429687298,2
154,1581016452727534055,1581016452293545228,0.433988827,2
155,1581016452798028945,1581016452361546143,0.436482802,2
156,1581016452837090969,1581016452395403390,0.441687579,2
157,1581016452907640933,1581016452463302214,0.444338719,2
158,1581016452946940898,1581016452497094055,0.449846843,2
159,1581016453017765045,1581016452598933496,0.418831549,2
160,1581016453056513071,1581016452632886000,0.423627071,2
161,1581016453127319097,1581016452700739047,0.42658005,2
162,1581016453165991067,1581016452734684774,0.431306293,2
163,1581016453237112998,1581016452803123087,0.433989911,2
164,1581016453275901079,1581016452838149551,0.437751528,2
165,1581016453346869945,1581016452905957285,0.44091266,2
166,1581016453385441064,1581016452939815902,0.445625162,2
167,1581016453456655025,1581016453007808428,0.448846597,2
168,1581016453494834899,1581016453075828287,0.419006612,2
169,1581016453566302061,1581016453143649094,0.422652967,2
170,1581016453604883909,1581016453177754096,0.427129813,2
171,1581016453675837039,1581016453245767047,0.430069992,2
172,1581016453714131116,1581016453279957899,0.434173217,2
173,1581016453785989999,1581016453347949499,0.4380405,2
174,1581016453823441982,1581016453381817412,0.44162457,2
175,1581016453895966053,1581016453449652941,0.446313112,2
176,1581016453933450937,1581016453483515726,0.449935211,2
177,1581016454005776882,1581016453585536255,0.420240627,2
178,1581016454043133974,1581016453619655200,0.423478774,2
179,1581016454115365028,1581016453687490692,0.427874336,2
180,1581016454153001070,1581016453721435197,0.431565873,2
181,1581016454225310087,1581016453790074247,0.43523584,2
182,1581016454262805938,1581016453824557500,0.438248438,2
183,1581016454335005044,1581016453892509526,0.442495518,2
184,1581016454372375011,1581016453926324293,0.446050718,2
185,1581016454444407939,1581016453994275820,0.450132119,2
186,1581016454482047080,1581016454062346066,0.419701014,2
187,1581016454553850889,1581016454130176318,0.423674571,2
188,1581016454591578960,1581016454164142822,0.427436138,2
189,1581016454663022041,1581016454232224717,0.430797324,2
190,1581016454701750040,1581016454267306679,0.434443361,2
191,1581016454773108959,1581016454336057597,0.437051362,2
192,1581016454811017036,1581016454369945881,0.441071155,2
193,1581016454882817029,1581016454438489692,0.444327337,2
194,1581016454920490026,1581016454472434122,0.448055904,2
195,1581016454993026018,1581016454574275914,0.418750104,2
196,1581016455030416011,1581016454608240919,0.422175092,2
197,1581016455102634906,1581016454676009782,0.426625124,2
198,1581016455140583992,1581016454710002897,0.430581095,2
199,1581016455212246894,1581016454778588189,0.433658705,2
200,1581016455250508069,1581016454812643506,0.437864563,2
201,1581016455321913003,1581016454880432518,0.441480485,2
202,1581016455360063076,1581016454914286561,0.445776515,2
203,1581016455431514024,1581016454982229551,0.449284473,2
204,1581016455469549894,1581016455050169541,0.419380353,2
205,1581016455541251897,1581016455118002367,0.42324953,2
206,1581016455579034090,1581016455151960778,0.427073312,2
207,1581016455650823116,1581016455220290186,0.43053293,2
208,1581016455688863992,1581016455254584351,0.434279641,2
209,1581016455760835886,1581016455322939406,0.43789648,2
210,1581016455798892021,1581016455356820653,0.442071368,2
211,1581016455870764017,1581016455424667126,0.446096891,2
212,1581016455908668994,1581016455458585780,0.450083214,2
213,1581016455980443000,1581016455560559439,0.419883561,2
214,1581016456018527030,1581016455594522036,0.424004994,2
215,1581016456089813947,1581016455662270493,0.427543454,2
216,1581016456128519058,1581016455696189480,0.432329578,2
217,1581016456199275016,1581016455764727180,0.434547836,2
218,1581016456238668918,1581016455800082100,0.438586818,2
219,1581016456309210062,1581016455867922555,0.441287507,2
220,1581016456348680973,1581016455901879726,0.446801247,2
221,1581016456418576955,1581016455969852400,0.448724555,2
222,1581016456458214044,1581016456037758743,0.420455301,2
223,1581016456528033018,1581016456105614864,0.422418154,2
224,1581016456567987918,1581016456139577220,0.428410698,2
225,1581016456637785911,1581016456207690910,0.430095001,2
226,1581016456677429914,1581016456242842816,0.434587098,2
227,1581016456747495889,1581016456310673679,0.43682221,2
228,1581016456787014007,1581016456344566370,0.442447637,2
229,1581016456857276916,1581016456412514619,0.444762297,2
230,1581016456896959066,1581016456480463035,0.416496031,2
231,1581016456966758012,1581016456548518615,0.418239397,2
232,1581016457006561040,1581016456582480952,0.424080088,2
233,1581016457076417922,1581016456650302037,0.426115885,2
234,1581016457116415023,1581016456684273431,0.432141592,2
235,1581016457186309099,1581016456752315567,0.433993532,2
236,1581016457226130008,1581016456786178036,0.439951972,2
237,1581016457295953989,1581016456853969510,0.441984479,2
238,1581016457335601091,1581016456888603908,0.446997183,2
239,1581016457405533075,1581016456956443271,0.449089804,2
240,1581016457445596933,1581016457024376039,0.421220894,2
241,1581016457515305995,1581016457092274733,0.423031262,2
242,1581016457555156946,1581016457126371013,0.428785933,2
243,1581016457624922990,1581016457194248911,0.430674079,2
244,1581016457665433883,1581016457228225526,0.437208357,2
245,1581016457734778881,1581016457296985092,0.437793789,2
246,1581016457772351980,1581016457330887875,0.441464105,2
247,1581016457841861009,1581016457398674091,0.443186918,2
248,1581016457878659009,1581016457432604114,0.446054895,2
249,1581016457948627948,1581016457534438721,0.414189227,2
250,1581016457985502958,1581016457568434688,0.41706827,2
251,1581016458055306911,1581016457636292050,0.419014861,2
252,1581016458092274904,1581016457670377478,0.421897426,2
253,1581016458161978960,1581016457738480316,0.423498644,2
254,1581016458199600934,1581016457773277600,0.426323334,2
255,1581016458268817901,1581016457841022816,0.427795085,2
256,1581016458306283950,1581016457874833064,0.431450886,2
257,1581016458375457048,1581016457942688408,0.43276864,2
258,1581016458413228034,1581016457976528248,0.436699786,2
259,1581016458482665061,1581016458044367407,0.438297654,2
260,1581016458519695043,1581016458078215284,0.441479759,2
261,1581016458589009046,1581016458146388584,0.442620462,2
262,1581016458626106977,1581016458180339699,0.445767278,2
263,1581016458694478034,1581016458282422301,0.412055733,2
264,1581016458733105897,1581016458316363695,0.416742202,2
265,1581016458800628900,1581016458384179743,0.416449157,2
266,1581016458839617013,1581016458418499147,0.421117866,2
267,1581016458906584978,1581016458486424786,0.420160192,2
268,1581016458946609973,1581016458520517361,0.426092612,2
269,1581016459012830018,1581016458588239115,0.424590903,2
270,1581016459053497076,1581016458622067752,0.431429324,2
271,1581016459119148969,1581016458689943391,0.429205578,2
272,1581016459160501003,1581016458723821564,0.436679439,2
273,1581016459225522041,1581016458791807164,0.433714877,2
274,1581016459267417907,1581016458825651875,0.441766032,2
275,1581016459332321882,1581016458893760954,0.438560928,2
276,1581016459374130010,1581016458927672719,0.446457291,2
277,1581016459438596963,1581016458995656837,0.442940126,2
278,1581016459480889081,1581016459063512255,0.417376826,2
279,1581016459544977903,1581016459131448060,0.413529843,2
280,1581016459587888002,1581016459165862684,0.422025318,2
281,1581016459651241064,1581016459233767138,0.417473926,2
282,1581016459694999933,1581016459268226540,0.426773393,2
283,1581016459757945060,1581016459336182751,0.421762309,2
284,1581016459802884101,1581016459370091479,0.432792622,2
285,1581016459865035057,1581016459437853954,0.427181103,2
286,1581016459910116910,1581016459471799255,0.438317655,2
287,1581016459972059011,1581016459539823225,0.432235786,2
288,1581016460016747951,1581016459573645436,0.443102515,2
289,1581016460079253911,1581016459641766848,0.437487063,2
290,1581016460123121976,1581016459675772333,0.447349643,2
291,1581016460186285018,1581016459743794488,0.44249053,2
292,1581016460229515075,1581016459811779384,0.417735691,2
293,1581016460293159961,1581016459845730982,0.447428979,2
294,1581016460336086034,1581016459914535232,0.421550802,2
295,1581016460400083065,1581016459982384020,0.417699045,2
296,1581016460442471027,1581016460017424798,0.425046229,2
297,1581016460506916999,1581016460085581858,0.421335141,2
298,1581016460549474000,1581016460119463679,0.430010321,2
299,1581016460613846063,1581016460187370595,0.426475468,2
300,1581016460655668020,1581016460221218046,0.434449974,2
301,1581016460720617055,1581016460289113352,0.431503703,2
302,1581016460762181997,1581016460322965211,0.439216786,2
303,1581016460827601909,1581016460390978477,0.436623432,2
304,1581016460868387937,1581016460424837465,0.443550472,2
305,1581016460934083938,1581016460492781473,0.441302465,2
306,1581016460974874019,1581016460560822720,0.414051299,2
307,1581016461040811061,1581016460594802965,0.446008096,2
308,1581016461081305980,1581016460662552551,0.418753429,2
309,1581016461147669076,1581016460730583447,0.417085629,2
310,1581016461187787055,1581016460764639024,0.423148031,2
311,1581016461254188060,1581016460833100910,0.42108715,2
312,1581016461294295072,1581016460866959750,0.427335322,2
313,1581016461361084938,1581016460934814556,0.426270382,2
314,1581016461401189088,1581016460969136220,0.432052868,2
315,1581016461468024969,1581016461036930806,0.431094163,2
316,1581016461508128881,1581016461070805201,0.43732368,2
317,1581016461575119972,1581016461138752154,0.436367818,2
318,1581016461614274024,1581016461172596327,0.441677697,2
319,1581016461681626081,1581016461240761072,0.440865009,2
320,1581016461720607042,1581016461274667707,0.445939335,2
321,1581016461788295030,1581016461342688214,0.445606816,2
322,1581016461826817035,1581016461410605037,0.416211998,2
323,1581016461894834995,1581016461478422734,0.416412261,2
324,1581016461933216094,1581016461512433978,0.420782116,2
325,1581016462001351118,1581016461580233248,0.42111787,2
326,1581016462039916038,1581016461614987125,0.424928913,2
327,1581016462107839107,1581016461682786526,0.425052581,2
328,1581016462146320104,1581016461716663272,0.429656832,2
329,1581016462214364051,1581016461784400007,0.429964044,2
330,1581016462252895116,1581016461818209589,0.434685527,2
331,1581016462321161985,1581016461886102117,0.435059868,2
332,1581016462359302997,1581016461920071121,0.439231876,2
333,1581016462427365064,1581016461988106776,0.439258288,2
334,1581016462465740919,1581016462021993559,0.44374736,2
335,1581016462533778905,1581016462089967641,0.443811264,2
336,1581016462572072982,1581016462158042221,0.414030761,2
337,1581016462640244007,1581016462225913009,0.414330998,2
338,1581016462678433895,1581016462259891383,0.418542512,2
339,1581016462746500968,1581016462327792392,0.418708576,2
340,1581016462784673929,1581016462361974189,0.42269974,2
341,1581016462853185892,1581016462430007936,0.423177956,2
342,1581016462891335010,1581016462464014921,0.427320089,2
343,1581016462959507942,1581016462531806877,0.427701065,2
344,1581016462997945070,1581016462565622921,0.432322149,2
345,1581016463066159963,1581016462633652150,0.432507813,2
346,1581016463104489088,1581016462667510138,0.43697895,2
347,1581016463172775983,1581016462735407796,0.437368187,2
348,1581016463210774898,1581016462769267172,0.441507726,2
349,1581016463279402971,1581016462837415788,0.441987183,2
350,1581016463317095041,1581016462871357737,0.445737304,2
351,1581016463385951042,1581016462939400577,0.446550465,2
352,1581016463423492908,1581016463007221551,0.416271357,2
353,1581016463492095947,1581016463075062246,0.417033701,2
354,1581016463529809951,1581016463109016621,0.42079333,2
355,1581016463597964048,1581016463176962815,0.421001233,2
356,1581016463636482000,1581016463211496030,0.42498597,2
357,1581016463704241037,1581016463280204319,0.424036718,2
358,1581016463743155002,1581016463314185211,0.428969791,2
359,1581016463810491085,1581016463381980482,0.428510603,2
360,1581016463850497961,1581016463415885395,0.434612566,2
361,1581016463917113065,1581016463483780979,0.433332086,2
362,1581016463957412958,1581016463517630133,0.439782825,2
363,1581016464023916006,1581016463585626770,0.438289236,2
364,1581016464064439058,1581016463619532387,0.444906671,2
365,1581016464130105018,1581016463687488803,0.442616215,2
366,1581016464171390056,1581016463755606863,0.415783193,2
367,1581016464236577987,1581016463789440537,0.44713745,2
368,1581016464278610944,1581016463857189549,0.421421395,2
369,1581016464343503952,1581016463925002227,0.418501725,2
370,1581016464385495901,1581016463959013897,0.426482004,2
371,1581016464450192928,1581016464027783425,0.422409503,2
372,1581016464492814064,1581016464061868520,0.430945544,2
373,1581016464557169914,1581016464130585623,0.426584291,2
374,1581016464600814104,1581016464164518628,0.436295476,2
375,1581016464664097070,1581016464232269900,0.43182717,2
376,1581016464707978010,1581016464266116870,0.44186114,2
377,1581016464771159887,1581016464334222912,0.436936975,2
378,1581016464815021038,1581016464368149639,0.446871399,2
379,1581016464878213882,1581016464436121795,0.442092087,2
380,1581016464922346115,1581016464504186190,0.418159925,2
381,1581016464985348939,1581016464538177286,0.447171653,2
382,1581016465029823064,1581016464606767504,0.42305556,2
383,1581016465092401981,1581016464674632458,0.417769523,2
384,1581016465137326002,1581016464708801236,0.428524766,2
385,1581016465199512004,1581016464776823409,0.422688595,2
386,1581016465244793891,1581016464810685582,0.434108309,2
387,1581016465307019948,1581016464878968102,0.428051846,2
388,1581016465352286100,1581016464912851534,0.439434566,2
389,1581016465414378881,1581016464980741673,0.433637208,2
390,1581016465460324048,1581016465014595254,0.445728794,2
391,1581016465521878957,1581016465082734703,0.439144254,2
392,1581016465567639112,1581016465150910373,0.416728739,2
393,1581016465629168987,1581016465184829471,0.444339516,2
394,1581016465674789905,1581016465252838367,0.421951538,2
395,1581016465736079931,1581016465320903484,0.415176447,2
396,1581016465781927108,1581016465355013004,0.426914104,2
397,1581016465843378067,1581016465422833330,0.420544737,2
398,1581016465889399051,1581016465456777297,0.432621754,2
399,1581016465950886964,1581016465525552826,0.425334138,2
400,1581016465998331069,1581016465559476905,0.438854164,2
401,1581016466058564901,1581016465627255454,0.431309447,2
402,1581016466104928970,1581016465661095405,0.443833565,2
403,1581016466166296005,1581016465729132134,0.437163871,2
404,1581016466212064981,1581016465797242435,0.414822546,2
405,1581016466273761987,1581016465831149681,0.442612306,2
406,1581016466319191932,1581016465899081023,0.420110909,2
407,1581016466381330966,1581016465967009828,0.414321138,2
408,1581016466426223039,1581016466001401065,0.424821974,2
409,1581016466488538980,1581016466069190613,0.419348367,2
410,1581016466533407926,1581016466103048953,0.430358973,2
